title;link;
Ejaan;["https://www.youtube.com/watch?v=iBD-zpM4nak&list=PL9AOTUu5bRu2ZEqNPn1Pp6LsL5jFedWHd&index=2", "https://www.youtube.com/watch?v=hjpT8gP_4js&list=PL9AOTUu5bRu2ZEqNPn1Pp6LsL5jFedWHd&index=3", "https://www.youtube.com/watch?v=TBBBm8a62mE&list=PL9AOTUu5bRu2ZEqNPn1Pp6LsL5jFedWHd&index=4", "https://www.youtube.com/watch?v=Oi8xSvDCZ7w&list=PL9AOTUu5bRu2ZEqNPn1Pp6LsL5jFedWHd&index=5", "https://www.youtube.com/watch?v=bgA5EgM-B9U&list=PL9AOTUu5bRu2ZEqNPn1Pp6LsL5jFedWHd&index=6", "https://www.youtube.com/watch?v=jdLuv8clJiQ&list=PL9AOTUu5bRu2ZEqNPn1Pp6LsL5jFedWHd&index=7"]
Tata Kata;["https://www.youtube.com/watch?v=UCQ5pJoWznQ&list=PL9AOTUu5bRu30PnYA6uFs4n7kr4cgemJq", "https://www.youtube.com/watch?v=GMY2Gp6uOBM&list=PL9AOTUu5bRu30PnYA6uFs4n7kr4cgemJq&index=2", "https://www.youtube.com/watch?v=2Rbsl7LWhZU&list=PL9AOTUu5bRu30PnYA6uFs4n7kr4cgemJq&index=3", "https://www.youtube.com/watch?v=CLKdmfFtlAY&list=PL9AOTUu5bRu30PnYA6uFs4n7kr4cgemJq&index=4"]
Tata Kalimat;["https://www.youtube.com/watch?v=2RR6m5RFKf0&list=PL9AOTUu5bRu2-MU_pwEw0NnSwY2IIYJWh", "https://www.youtube.com/watch?v=vof0n1e3qDU&list=PL9AOTUu5bRu2-MU_pwEw0NnSwY2IIYJWh&index=2", "https://www.youtube.com/watch?v=evW3BopOw7k&list=PL9AOTUu5bRu2-MU_pwEw0NnSwY2IIYJWh&index=3", "https://www.youtube.com/watch?v=Ty6dfHKCCBg&list=PL9AOTUu5bRu2-MU_pwEw0NnSwY2IIYJWh&index=4", "https://www.youtube.com/watch?v=DY75Um_sD14&list=PL9AOTUu5bRu2-MU_pwEw0NnSwY2IIYJWh&index=5", "https://www.youtube.com/watch?v=8VWFkKqNGcA&list=PL9AOTUu5bRu2-MU_pwEw0NnSwY2IIYJWh&index=6"]
Paragraf;["https://www.youtube.com/watch?v=38PmUC6VMkM&list=PL9AOTUu5bRu3Ptar0ikA1A3s1eN8U9LoN", "https://www.youtube.com/watch?v=-b2RgcP7zts&list=PL9AOTUu5bRu3Ptar0ikA1A3s1eN8U9LoN&index=2", "https://www.youtube.com/watch?v=URCrn71q9Ng&list=PL9AOTUu5bRu3Ptar0ikA1A3s1eN8U9LoN&index=3", "https://www.youtube.com/watch?v=54bJF8sZSbc&list=PL9AOTUu5bRu3Ptar0ikA1A3s1eN8U9LoN&index=4", "https://www.youtube.com/watch?v=SPhRq5msUFs&list=PL9AOTUu5bRu3Ptar0ikA1A3s1eN8U9LoN&index=5"]
TTKI (1);["https://www.youtube.com/watch?v=agvtdJ-k8aI&list=PL9AOTUu5bRu27OjbfAjZQk8daUkZNlN84", "https://www.youtube.com/watch?v=LiVblsdBhcI&list=PL9AOTUu5bRu27OjbfAjZQk8daUkZNlN84&index=2", "https://www.youtube.com/watch?v=4VN2DbVT4Ao&list=PL9AOTUu5bRu27OjbfAjZQk8daUkZNlN84&index=3"]
TTKI (2);["https://www.youtube.com/watch?v=Pxxqx5qQfms&list=PL9AOTUu5bRu33s9be8GxuM80EYCQXx50W",  "https://www.youtube.com/watch?v=_25GVr59HOg&list=PL9AOTUu5bRu33s9be8GxuM80EYCQXx50W&index=2", "https://www.youtube.com/watch?v=5hcleKYEhYo&list=PL9AOTUu5bRu33s9be8GxuM80EYCQXx50W&index=3", "https://www.youtube.com/watch?v=brojTczcHdI&list=PL9AOTUu5bRu33s9be8GxuM80EYCQXx50W&index=4"]
